data,casos
01/01/2023,68
02/01/2023,233
03/01/2023,404
04/01/2023,494
05/01/2023,620
06/01/2023,616
07/01/2023,349
08/01/2023,313
09/01/2023,747
10/01/2023,994
11/01/2023,728
12/01/2023,639
13/01/2023,656
14/01/2023,318
15/01/2023,355
16/01/2023,893
17/01/2023,701
18/01/2023,597
19/01/2023,597
20/01/2023,597
21/01/2023,300
22/01/2023,280
23/01/2023,824
24/01/2023,685
25/01/2023,597
26/01/2023,596
27/01/2023,571
28/01/2023,258
29/01/2023,269
30/01/2023,746
31/01/2023,618
01/02/2023,605
02/02/2023,641
03/02/2023,552
04/02/2023,313
05/02/2023,312
06/02/2023,930
07/02/2023,749
08/02/2023,660
09/02/2023,681
10/02/2023,666
11/02/2023,391
12/02/2023,379
13/02/2023,1103
14/02/2023,971
15/02/2023,890
16/02/2023,858
17/02/2023,842
18/02/2023,430
19/02/2023,409
20/02/2023,855
21/02/2023,604
22/02/2023,1058
23/02/2023,1124
24/02/2023,985
25/02/2023,405
26/02/2023,447
27/02/2023,1143
28/02/2023,1045
01/03/2023,992
02/03/2023,994
03/03/2023,901
04/03/2023,442
05/03/2023,426
06/03/2023,1220
07/03/2023,1082
08/03/2023,981
09/03/2023,961
10/03/2023,934
11/03/2023,454
12/03/2023,509
13/03/2023,1334
14/03/2023,1159
15/03/2023,1068
16/03/2023,975
17/03/2023,1045
18/03/2023,457
19/03/2023,476
20/03/2023,1468
21/03/2023,1185
22/03/2023,1166
23/03/2023,1130
24/03/2023,1093
25/03/2023,474
26/03/2023,520
27/03/2023,1529
28/03/2023,1352
29/03/2023,1233
30/03/2023,1175
31/03/2023,1069
01/04/2023,501
02/04/2023,472
03/04/2023,1525
04/04/2023,1133
05/04/2023,1197
06/04/2023,1040
07/04/2023,492
08/04/2023,494
09/04/2023,462
10/04/2023,1625
11/04/2023,1400
12/04/2023,1247
13/04/2023,1162
14/04/2023,1132
15/04/2023,520
16/04/2023,482
17/04/2023,1622
18/04/2023,1360
19/04/2023,1304
20/04/2023,1081
21/04/2023,565
22/04/2023,512
23/04/2023,557
24/04/2023,1761
25/04/2023,1422
26/04/2023,1253
27/04/2023,1255
28/04/2023,1188
29/04/2023,490
30/04/2023,460
01/05/2023,657
02/05/2023,1662
03/05/2023,1340
04/05/2023,1168
05/05/2023,1257
06/05/2023,502
07/05/2023,465
08/05/2023,1639
09/05/2023,1427
10/05/2023,1256
11/05/2023,1215
12/05/2023,1110
13/05/2023,506
14/05/2023,415
15/05/2023,1629
16/05/2023,1445
17/05/2023,1218
18/05/2023,1348
19/05/2023,1194
20/05/2023,608
21/05/2023,569
22/05/2023,1780
23/05/2023,1466
24/05/2023,1248
25/05/2023,1379
26/05/2023,1245
27/05/2023,552
28/05/2023,542
29/05/2023,1671
30/05/2023,1428
31/05/2023,1179
01/06/2023,1266
02/06/2023,1165
03/06/2023,484
04/06/2023,552
05/06/2023,1651
06/06/2023,1270
07/06/2023,1112
08/06/2023,574
09/06/2023,989
10/06/2023,489
11/06/2023,474
12/06/2023,1546
13/06/2023,1267
14/06/2023,1141
15/06/2023,1093
16/06/2023,1018
17/06/2023,411
18/06/2023,467
19/06/2023,1396
20/06/2023,1198
21/06/2023,1021
22/06/2023,1056
23/06/2023,914
24/06/2023,452
25/06/2023,452
26/06/2023,1463
27/06/2023,1093
28/06/2023,1019
29/06/2023,949
30/06/2023,957
01/07/2023,434
02/07/2023,417
03/07/2023,1296
04/07/2023,923
05/07/2023,886
06/07/2023,957
07/07/2023,863
08/07/2023,411
09/07/2023,455
10/07/2023,1229
11/07/2023,961
12/07/2023,1000
13/07/2023,897
14/07/2023,873
15/07/2023,357
16/07/2023,384
17/07/2023,1159
18/07/2023,941
19/07/2023,794
20/07/2023,792
21/07/2023,692
22/07/2023,309
23/07/2023,324
24/07/2023,1016
25/07/2023,803
26/07/2023,735
27/07/2023,665
28/07/2023,606
29/07/2023,255
30/07/2023,348
31/07/2023,987
01/08/2023,709
02/08/2023,634
03/08/2023,643
04/08/2023,602
05/08/2023,334
06/08/2023,330
07/08/2023,975
08/08/2023,747
09/08/2023,681
10/08/2023,671
11/08/2023,643
12/08/2023,329
13/08/2023,296
14/08/2023,932
15/08/2023,790
16/08/2023,688
17/08/2023,677
18/08/2023,762
19/08/2023,322
20/08/2023,353
21/08/2023,994
22/08/2023,795
23/08/2023,790
24/08/2023,710
25/08/2023,674
26/08/2023,345
27/08/2023,322
28/08/2023,949
29/08/2023,803
30/08/2023,680
31/08/2023,657
01/09/2023,603
02/09/2023,323
03/09/2023,279
04/09/2023,929
05/09/2023,796
06/09/2023,629
07/09/2023,347
08/09/2023,561
09/09/2023,331
10/09/2023,313
11/09/2023,1034
12/09/2023,796
13/09/2023,704
14/09/2023,704
15/09/2023,656
16/09/2023,288
17/09/2023,295
18/09/2023,1019
19/09/2023,808
20/09/2023,709
21/09/2023,703
22/09/2023,687
23/09/2023,294
24/09/2023,282
25/09/2023,973
26/09/2023,813
27/09/2023,767
28/09/2023,684
29/09/2023,626
30/09/2023,307
01/10/2023,279
02/10/2023,924
03/10/2023,777
04/10/2023,690
05/10/2023,731
06/10/2023,716
07/10/2023,325
08/10/2023,309
09/10/2023,1070
10/10/2023,790
11/10/2023,732
12/10/2023,342
13/10/2023,610
14/10/2023,359
15/10/2023,332
16/10/2023,1144
17/10/2023,812
18/10/2023,809
19/10/2023,742
20/10/2023,703
21/10/2023,315
22/10/2023,342
23/10/2023,1099
24/10/2023,863
25/10/2023,861
26/10/2023,860
27/10/2023,761
28/10/2023,344
29/10/2023,316
30/10/2023,1101
31/10/2023,895
01/11/2023,737
02/11/2023,363
03/11/2023,661
04/11/2023,321
05/11/2023,327
06/11/2023,1119
07/11/2023,822
08/11/2023,760
09/11/2023,756
10/11/2023,744
11/11/2023,325
12/11/2023,334
13/11/2023,1000
14/11/2023,808
15/11/2023,393
16/11/2023,838
17/11/2023,667
18/11/2023,316
19/11/2023,285
20/11/2023,672
21/11/2023,762
22/11/2023,756
23/11/2023,649
24/11/2023,592
25/11/2023,271
26/11/2023,210
27/11/2023,806
28/11/2023,669
29/11/2023,645
30/11/2023,530
01/12/2023,567
02/12/2023,232
03/12/2023,252
04/12/2023,755
05/12/2023,655
06/12/2023,656
07/12/2023,577
08/12/2023,445
09/12/2023,249
10/12/2023,245
11/12/2023,753
12/12/2023,675
13/12/2023,617
14/12/2023,587
15/12/2023,581
16/12/2023,241
17/12/2023,248
18/12/2023,791
19/12/2023,607
20/12/2023,600
21/12/2023,456
22/12/2023,451
23/12/2023,170
24/12/2023,126
25/12/2023,174
26/12/2023,706
27/12/2023,591
28/12/2023,505
29/12/2023,439
30/12/2023,188
31/12/2023,161
